"(0.0, 'ID_railroad_station_avto_127')"
"(0.0, 'ID_railroad_station_avto_13')"
"(0.0, 'ID_railroad_station_avto_130')"
"(0.0, 'ID_railroad_station_avto_131')"
"(0.0, 'ID_railroad_station_avto_15')"
"(0.0, 'ID_railroad_station_avto_17')"
"(0.0, 'ID_railroad_station_avto_2')"
"(0.0, 'ID_railroad_station_avto_20')"
"(0.0, 'ID_railroad_station_avto_26')"
"(0.0, 'ID_railroad_station_avto_29')"
"(0.0, 'ID_railroad_station_avto_30')"
"(0.0, 'ID_railroad_station_avto_34')"
"(0.0, 'ID_railroad_station_avto_4')"
"(0.0, 'ID_railroad_station_avto_43')"
"(0.0, 'ID_railroad_station_avto_44')"
"(0.0, 'ID_railroad_station_avto_47')"
"(0.0, 'ID_railroad_station_avto_48')"
"(0.0, 'ID_railroad_station_avto_5')"
"(0.0, 'ID_railroad_station_avto_51')"
"(0.0, 'ID_railroad_station_avto_53')"
"(0.0, 'ID_railroad_station_avto_55')"
"(0.0, 'ID_railroad_station_avto_59')"
"(0.0, 'ID_railroad_station_avto_6')"
"(0.0, 'ID_railroad_station_avto_60')"
"(0.0, 'ID_railroad_station_avto_61')"
"(0.0, 'ID_railroad_station_avto_62')"
"(0.0, 'ID_railroad_station_avto_64')"
"(0.0, 'ID_railroad_station_avto_65')"
"(0.0, 'ID_railroad_station_avto_67')"
"(0.0, 'ID_railroad_station_avto_69')"
"(0.0, 'ID_railroad_station_avto_7')"
"(0.0, 'ID_railroad_station_avto_71')"
"(0.0, 'ID_railroad_station_avto_80')"
"(0.0, 'ID_railroad_station_avto_82')"
"(0.0, 'ID_railroad_station_avto_83')"
"(0.0, 'ID_railroad_station_avto_84')"
"(0.0, 'ID_railroad_station_avto_85')"
"(0.0, 'ID_railroad_station_avto_87')"
"(0.0, 'ID_railroad_station_avto_9')"
"(0.0, 'ID_railroad_station_avto_93')"
"(0.0, 'ID_railroad_station_avto_95')"
"(0.0, 'ID_railroad_station_avto_97')"
"(0.0, 'ID_railroad_station_avto_99')"
"(0.0, 'ID_railroad_station_walk_-1')"
"(0.0, 'ID_railroad_station_walk_103')"
"(0.0, 'ID_railroad_station_walk_104')"
"(0.0, 'ID_railroad_station_walk_105')"
"(0.0, 'ID_railroad_station_walk_106')"
"(0.0, 'ID_railroad_station_walk_111')"
"(0.0, 'ID_railroad_station_walk_113')"
"(0.0, 'ID_railroad_station_walk_115')"
"(0.0, 'ID_railroad_station_walk_116')"
"(0.0, 'ID_railroad_station_walk_119')"
"(0.0, 'ID_railroad_station_walk_12')"
"(0.0, 'ID_railroad_station_walk_121')"
"(0.0, 'ID_railroad_station_walk_124')"
"(0.0, 'ID_railroad_station_walk_125')"
"(0.0, 'ID_railroad_station_walk_126')"
"(0.0, 'ID_railroad_station_walk_128')"
"(0.0, 'ID_railroad_station_walk_13')"
"(0.0, 'ID_railroad_station_walk_131')"
"(0.0, 'ID_railroad_station_walk_132')"
"(0.0, 'ID_railroad_station_walk_14')"
"(0.0, 'ID_railroad_station_walk_17')"
"(0.0, 'ID_railroad_station_walk_19')"
"(0.0, 'ID_railroad_station_walk_25')"
"(0.0, 'ID_railroad_station_walk_28')"
"(0.0, 'ID_railroad_station_walk_36')"
"(0.0, 'ID_railroad_station_walk_4')"
"(0.0, 'ID_railroad_station_walk_40')"
